Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrTimeBlk,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2011,1,2,18,5,2011-02-18,AA,N581AA,597,ORD,"Chicago, IL",IL,SAT,"San Antonio, TX",TX,1805,1804.0,-1.0,0.0,0.0,1800-1859,13.0,1817.0,2043.0,14.0,2100,2057.0,-3.0,0.0,0.0,2100-2159,175.0,173.0,146.0,1041.0,5,0.0,0.0,0.0,0.0,0.0
2014,3,8,10,7,2014-08-10,B6,N249JB,1169,RIC,"Richmond, VA",VA,MCO,"Orlando, FL",FL,1000,951.0,-9.0,0.0,0.0,1000-1059,9.0,1000.0,1134.0,9.0,1201,1143.0,-18.0,0.0,0.0,1200-1259,121.0,112.0,94.0,667.0,3,0.0,0.0,0.0,0.0,0.0
2006,4,11,6,1,2006-11-06,YV,N909FJ,2821,EUG,"Eugene, OR",OR,PHX,"Phoenix, AZ",AZ,545,541.0,-4.0,0.0,0.0,0001-0559,14.0,555.0,858.0,7.0,908,905.0,-3.0,0.0,0.0,0900-0959,143.0,144.0,123.0,952.0,4,0.0,0.0,0.0,0.0,0.0
2011,4,11,24,4,2011-11-24,US,N767UW,2166,DCA,"Washington, DC",VA,LGA,"New York, NY",NY,1000,1002.0,2.0,2.0,0.0,1000-1059,10.0,1012.0,1051.0,6.0,1119,1057.0,-22.0,0.0,0.0,1100-1159,79.0,55.0,39.0,214.0,1,0.0,0.0,0.0,0.0,0.0
2004,1,1,13,2,2004-01-13,DH,N699BR,7402,LAN,"Lansing, MI",MI,ORD,"Chicago, IL",IL,1030,1021.0,-9.0,0.0,0.0,1000-1059,11.0,1032.0,1011.0,3.0,1033,1014.0,-19.0,0.0,0.0,1000-1059,63.0,53.0,39.0,179.0,1,0.0,0.0,0.0,0.0,0.0
2005,4,10,14,5,2005-10-14,NW,N515US,342,SFO,"San Francisco, CA",CA,DTW,"Detroit, MI",MI,1241,1237.0,-4.0,0.0,0.0,1200-1259,15.0,1252.0,1943.0,11.0,2013,1954.0,-19.0,0.0,0.0,2000-2059,272.0,257.0,231.0,2079.0,9,0.0,0.0,0.0,0.0,0.0
2007,3,7,5,4,2007-07-05,F9,N924FR,235,BNA,"Nashville, TN",TN,DEN,"Denver, CO",CO,1855,2006.0,71.0,71.0,1.0,1800-1859,14.0,2020.0,2133.0,5.0,2041,2138.0,57.0,57.0,1.0,2000-2059,166.0,152.0,133.0,1013.0,5,57.0,0.0,0.0,0.0,0.0
2005,3,8,2,2,2005-08-02,DL,N915DN,722,ATL,"Atlanta, GA",GA,ORD,"Chicago, IL",IL,2212,2210.0,-2.0,0.0,0.0,2200-2259,20.0,2230.0,2258.0,9.0,2304,2307.0,3.0,3.0,0.0,2300-2359,112.0,117.0,88.0,606.0,3,0.0,0.0,0.0,0.0,0.0
2009,4,10,8,4,2009-10-08,XE,N13979,2636,IAH,"Houston, TX",TX,OKC,"Oklahoma City, OK",OK,735,729.0,-6.0,0.0,0.0,0700-0759,11.0,740.0,841.0,6.0,857,847.0,-10.0,0.0,0.0,0800-0859,82.0,78.0,61.0,395.0,2,0.0,0.0,0.0,0.0,0.0
2012,1,3,17,6,2012-03-17,US,N541UW,575,CLT,"Charlotte, NC",NC,SEA,"Seattle, WA",WA,1812,1859.0,47.0,47.0,1.0,1800-1859,18.0,1917.0,2114.0,7.0,2106,2121.0,15.0,15.0,1.0,2100-2159,354.0,322.0,297.0,2279.0,10,11.0,0.0,0.0,0.0,4.0
2018,1,2,16,5,2018-02-16,DL,N965DL,2580,ATL,"Atlanta, GA",GA,JAN,"Jackson/Vicksburg, MS",MS,2236,2232.0,-4.0,0.0,0.0,2200-2259,13.0,2245.0,2242.0,4.0,2305,2246.0,-19.0,0.0,0.0,2300-2359,89.0,74.0,57.0,341.0,2,0.0,0.0,0.0,0.0,0.0
2004,1,3,28,7,2004-03-28,NW,N9334,1475,DTW,"Detroit, MI",MI,MSY,"New Orleans, LA",LA,1916,1953.0,37.0,37.0,1.0,1900-1959,39.0,2032.0,2147.0,4.0,2050,2151.0,61.0,61.0,1.0,2000-2059,154.0,178.0,135.0,926.0,4,14.0,0.0,24.0,0.0,23.0
